hotel.id: Descending,includes_weekend: Descending,is_cardless: Descending,is_prepaid: Descending,checkin_date: Descending,nights: Descending,number_of_rooms: Descending,hotel.stars: Descending,hotel.type.keyword: Descending,customer.country_code.keyword: Descending,hotel.country_en.keyword: Descending,hotel.city_en.keyword: Descending,customer.platform.keyword: Descending,created_at per day,cancelled: Descending
822620,0,1,0,"July 9, 2017",1,1,0,Hotel,SA,Saudi Arabia,Jeddah,iPhoneApp,"July 3, 2017",1
27032,0,0,0,"December 4, 2017",1,1,4,Hotel,SA,Egypt,Cairo,iPhoneApp,"December 4, 2017",0
452806,1,0,0,"June 28, 2017",7,1,5,Hotel Resort,SA,Indonesia,Nusa Dua,Chrome,"June 19, 2017",0
621754,0,0,0,"February 26, 2017",3,1,3,Hotel,SA,United Arab Emirates,Dubai,iPhoneApp,"February 20, 2017",1
205042,0,0,1,"October 15, 2017",1,1,2,Hotel,AE,United Arab Emirates,Abu Dhabi,AndroidApp,"October 9, 2017",0
19540,0,0,0,"July 2, 2017",2,1,4,Hotel,SA,Bahrain,Manama,iPhoneApp,"June 26, 2017",0
874298,0,1,0,"June 13, 2017",1,1,0,Apartment,SA,Saudi Arabia,Makkah (Mecca),iPhoneApp,"June 12, 2017",1
645300,1,0,0,"September 23, 2017",1,1,3,Hotel,KW,Kuwait,Hawally,iPhoneApp,"September 18, 2017",1
11492,0,0,0,"August 17, 2017",1,1,4,Villa,PS,Palestine,Jericho,iPhoneApp,"August 14, 2017",0
42296,1,0,0,"April 14, 2017",1,1,5,Hotel,SA,Saudi Arabia,Madinah,iPhoneApp,"April 10, 2017",0
1006792,0,0,0,"June 14, 2017",1,1,2,Apart Hotel,SA,Saudi Arabia,Tabuk,iPhoneApp,"June 12, 2017",0
323726,1,0,1,"October 5, 2017",3,1,4,Hotel,SA,Czech Republic,Prague,iPhoneApp,"August 21, 2017",0
18008,1,0,1,"September 1, 2017",1,1,5,Apart Hotel,SA,Bahrain,Manama,iPhoneApp,"August 28, 2017",0
19336,0,0,0,"December 10, 2017",2,1,4,Hotel,SA,United Arab Emirates,Dubai,AndroidApp,"December 4, 2017",0
262024,1,0,0,"August 27, 2017",11,1,4,Hotel,SA,Turkey,Istanbul,Safari,"August 14, 2017",0
765302,0,0,0,"January 25, 2017",1,2,5,Hotel,SA,Kuwait,Salmiyah,Chrome,"January 9, 2017",0
24946,1,0,0,"September 20, 2017",5,1,5,Hotel,SA,United Arab Emirates,Dubai,iPhoneApp,"September 18, 2017",1
14636,0,0,0,"April 4, 2017",2,1,5,Hotel Resort,PS,Jordan,Dead Sea,Chrome,"March 20, 2017",0
358348,1,0,0,"July 13, 2018",3,3,0,Hotel,IL,Turkey,Istanbul,AndroidApp,"September 18, 2017",1
874340,0,1,0,"May 28, 2017",1,1,0,Apartment,SA,Saudi Arabia,Madinah,iPhoneApp,"May 22, 2017",1
211314,1,0,0,"May 26, 2017",4,1,4,Hotel,SA,United Kingdom,London,iPhoneApp,"April 24, 2017",1
31062,1,0,0,"June 1, 2017",3,1,4,Hotel,SA,Saudi Arabia,Makkah (Mecca),iPhoneApp,"May 1, 2017",0
57516,1,0,0,"January 27, 2017",4,1,0,Hotel,SA,Saudi Arabia,Riyadh,Chrome,"January 9, 2017",1
822672,1,0,0,"March 17, 2017",1,1,0,Hotel,SA,Saudi Arabia,Jeddah,Chrome,"March 13, 2017",0
754630,1,0,0,"January 29, 2017",6,1,3,Hotel,SA,United Arab Emirates,Dubai,Chrome,"January 23, 2017",0
822672,0,1,0,"March 9, 2017",1,1,0,Hotel,SA,Saudi Arabia,Jeddah,iPhoneApp,"March 6, 2017",0
422826,0,0,0,"June 28, 2017",1,1,3,Hotel,SA,Saudi Arabia,Yanbu,iPhoneApp,"June 26, 2017",0
15058,0,0,0,"December 4, 2017",1,1,5,Hotel,QA,Oman,Muscat,iPhoneApp,"November 27, 2017",0
17144,0,1,0,"December 31, 2017",1,1,3,Hotel,SA,Bahrain,Manama,Chrome,"December 25, 2017",0
874318,0,1,0,"June 11, 2017",1,1,0,Apartment,SA,Saudi Arabia,Madinah,AndroidApp,"June 5, 2017",0
28642,1,0,0,"January 26, 2017",4,2,4,Hotel Resort,SA,Saudi Arabia,Al Khobar,Chrome,"January 23, 2017",0
1236536,0,0,0,"December 21, 2017",1,1,3,Hotel Resort,SA,Saudi Arabia,Taif,AndroidApp,"December 18, 2017",1
802132,1,0,0,"January 25, 2017",3,1,4,Others,SA,Qatar,Doha,Chrome,"January 16, 2017",0
32960,0,0,0,"August 22, 2017",1,1,4,Hotel,AE,United Arab Emirates,Abu Dhabi,iPhoneApp,"August 21, 2017",0
275894,1,0,0,"September 29, 2017",3,1,3,Hotel,TR,Turkey,Ankara,AndroidOS,"August 21, 2017",0
700972,1,0,0,"July 28, 2017",1,1,0,Others,BH,Turkey,Fethiye City Center,AndroidApp,"July 24, 2017",0
14550,1,0,0,"September 21, 2017",4,1,5,Hotel,SA,Egypt,Cairo,iPhoneApp,"September 18, 2017",0
14860,0,0,0,"April 16, 2017",3,1,3,Hotel,PS,Jordan,Aqaba,Chrome,"April 10, 2017",0
44770,0,0,0,"June 19, 2017",1,1,0,Suite,SA,Saudi Arabia,Taif,iPhoneApp,"June 19, 2017",1
470498,0,0,0,"June 26, 2017",4,2,4,Hotel,SA,United Arab Emirates,Dubai,iPhoneApp,"June 19, 2017",1
34002,0,0,0,"July 27, 2017",1,1,5,Hotel,SA,Bahrain,Manama,iPhoneApp,"July 24, 2017",0
14658,0,0,0,"July 13, 2017",1,1,5,Hotel Resort,QA,Jordan,Dead Sea,Chrome,"July 10, 2017",0
19562,1,0,0,"March 31, 2017",1,1,4,Hotel Resort,SA,Bahrain,Manama,AndroidApp,"March 20, 2017",0
24400,1,0,0,"May 4, 2017",2,1,5,Hotel,SA,United Arab Emirates,Dubai,iPhoneApp,"April 24, 2017",0
822810,1,1,0,"August 3, 2017",2,1,0,Hotel,JO,Jordan,Aqaba,Chrome,"July 31, 2017",1
690130,1,0,1,"September 2, 2017",5,1,4,Others,SA,United Arab Emirates,Dubai,Chrome,"August 14, 2017",0
14550,1,0,0,"July 9, 2017",7,1,5,Hotel,SA,Egypt,Cairo,Chrome,"June 19, 2017",1
14338,1,0,0,"February 11, 2017",5,2,5,Hotel,SA,Egypt,Cairo,Chrome,"February 6, 2017",0
482248,1,0,0,"September 3, 2017",6,4,4,Hotel,SA,Turkey,Istanbul,iPhoneApp,"August 28, 2017",0
40344,0,0,0,"September 7, 2017",1,1,4,Hotel,AE,United Arab Emirates,Dubai,iPhoneApp,"September 4, 2017",0
21026,0,1,0,"March 30, 2017",1,1,4,Hotel,SA,Qatar,Doha,iPhoneApp,"March 26, 2017",0
26348,0,0,0,"May 16, 2017",1,1,5,Hotel,PS,Palestine,Ramallah and Al-Bireh,iPhoneApp,"May 15, 2017",0
24854,1,0,0,"April 27, 2017",4,2,4,Hotel,PS,United Arab Emirates,Dubai,AndroidApp,"March 13, 2017",1
21022,1,1,0,"September 2, 2017",1,2,3,Hotel,JO,Jordan,Wadi Musa,AndroidApp,"August 28, 2017",0
874278,1,1,0,"September 1, 2017",1,1,0,Suite,SA,Saudi Arabia,Jeddah,AndroidApp,"August 21, 2017",1
612504,1,0,0,"June 29, 2017",2,1,0,Hotel,GB,France,Paris,Chrome,"June 5, 2017",0
